百分之百	3.00
倍加	3.00
备至	3.00
不得了	3.00
不堪	3.00
不可开交	3.00
不亦乐乎	3.00
不折不扣	3.00
彻头彻尾	3.00
充分	3.00
到头	3.00
地地道道	3.00
非常	3.00
极	3.00
极度	3.00
极端	3.00
极其	3.00
极为	3.00
截然	3.00
尽	3.00
惊人地	3.00
绝	3.00
绝顶	3.00
绝对	3.00
绝对化	3.00
刻骨	3.00
酷	3.00
满	3.00
满贯	3.00
满心	3.00
莫大	3.00
奇	3.00
入骨	3.00
甚为	3.00
十二分	3.00
十分	3.00
十足	3.00
死	3.00
滔天	3.00
痛	3.00
透	3.00
完全	3.00
完完全全	3.00
万	3.00
万般	3.00
万分	3.00
万万	3.00
无比	3.00
无度	3.00
无可估量	3.00
无以复加	3.00
无以伦比	3.00
要命	3.00
要死	3.00
已极	3.00
已甚	3.00
异常	3.00
逾常	3.00
贼	3.00
之极	3.00
之至	3.00
至极	3.00
卓绝	3.00
最为	3.00
佼佼	3.00
郅	3.00
綦	3.00
齁	3.00
最	3.00
不过	2.50
不少	2.50
不胜	2.50
惨	2.50
沉	2.50
沉沉	2.50
出奇	2.50
大为	2.50
多	2.50
多多	2.50
多加	2.50
多么	2.50
分外	2.50
格外	2.50
够瞧的	2.50
够戗	2.50
好	2.50
好不	2.50
何等	2.50
很	2.50
很是	2.50
坏	2.50
可	2.50
老	2.50
老大	2.50
良	2.50
颇	2.50
颇为	2.50
甚	2.50
实在	2.50
太	2.50
太甚	2.50
特	2.50
特别	2.50
尤	2.50
尤其	2.50
尤为	2.50
尤以	2.50
远	2.50
着实	2.50
曷	2.50
碜	2.50
大不了	2.00
多	2.00
更	2.00
更加	2.00
更进一步	2.00
更为	2.00
还	2.00
还要	2.00
较	2.00
较比	2.00
较为	2.00
进一步	2.00
那般	2.00
那么	2.00
那样	2.00
强	2.00
如斯	2.00
益	2.00
益发	2.00
尤甚	2.00
逾	2.00
愈	2.00
愈 ... 愈	2.00
愈发	2.00
愈加	2.00
愈来愈	2.00
愈益	2.00
远远	2.00
越 ... 越	2.00
越发	2.00
越加	2.00
越来越	2.00
越是	2.00
这般	2.00
这样	2.00
足	2.00
足足	2.00
点点滴滴	1.50
多多少少	1.50
怪	1.50
好生	1.50
还	1.50
或多或少	1.50
略	1.50
略加	1.50
略略	1.50
略微	1.50
略为	1.50
蛮	1.50
稍	1.50
稍稍	1.50
稍微	1.50
稍为	1.50
稍许	1.50
挺	1.50
未免	1.50
相当	1.50
些	1.50
些微	1.50
些小	1.50
一点	1.50
一点儿	1.50
一些	1.50
有点	1.50
有点儿	1.50
有些	1.50
半点	1.00
不大	1.00
不丁点儿	1.00
不甚	1.00
不怎么	1.00
聊	1.00
没怎么	1.00
轻度	1.00
弱	1.00
丝毫	1.00
微	1.00
相对	1.00
不为过	2.20
超	2.20
超额	2.20
超外差	2.20
超微结构	2.20
超物质	2.20
出头	2.20
多	2.20
浮	2.20
过	2.20
过度	2.20
过分	2.20
过火	2.20
过劲	2.20
过了头	2.20
过猛	2.20
过热	2.20
过甚	2.20
过头	2.20
过于	2.20
过逾	2.20
何止	2.20
何啻	2.20
开外	2.20
苦	2.20
老	2.20
偏	2.20
强	2.20
溢	2.20
忒	2.20
